	ENGINE_LOAD	RPM	SPEED	THROTTLE_POS	ACC_D	LABEL	TIME
990	32.5490196078	1794.0	21.0	88.6274509804	38.8235294118	normal	225919477.0
991	32.9411764706	1843.0	22.0	88.6274509804	48.6274509804	normal	225919610.0
992	43.5294117647	1913.0	22.0	88.6274509804	49.0196078431	normal	225919752.0
993	52.1568627451	1992.0	23.0	88.6274509804	49.0196078431	normal	225919874.0
994	55.6862745098	2018.75	24.0	88.6274509804	43.5294117647	normal	225920025.0
995	43.5294117647	2074.0	24.0	88.6274509804	41.568627451	normal	225920124.0
996	42.3529411765	2072.0	25.0	88.6274509804	35.2941176471	normal	225920274.0
997	27.8431372549	2087.75	25.0	88.6274509804	15.6862745098	normal	225920425.0
998	10.9803921569	2056.25	25.0	88.6274509804	14.5098039216	normal	225920568.0
999	2.74509803922	2023.0	25.0	88.6274509804	30.1960784314	normal	225920704.0
1000	0.0	2167.25	24.0	88.6274509804	32.5490196078	normal	225920839.0
1001	5.49019607843	2170.25	24.0	88.6274509804	33.7254901961	normal	225920963.0
1002	22.3529411765	2149.75	25.0	88.6274509804	35.6862745098	normal	225921104.0
1003	26.2745098039	2146.75	25.0	88.6274509804	34.5098039216	normal	225921203.0
1004	25.8823529412	2197.25	26.0	88.6274509804	33.7254901961	normal	225921343.0
1005	21.1764705882	2199.5	26.0	88.6274509804	33.3333333333	normal	225921479.0
1006	20.3921568627	2228.25	26.0	88.6274509804	32.9411764706	normal	225921616.0
1007	18.0392156863	2262.25	27.0	88.6274509804	32.9411764706	normal	225921753.0
1008	18.0392156863	2279.5	27.0	88.6274509804	32.5490196078	normal	225921905.0
1009	18.0392156863	2305.5	27.0	88.6274509804	32.5490196078	normal	225922062.0
1010	17.6470588235	2323.75	27.0	88.6274509804	32.5490196078	normal	225922208.0
1011	17.6470588235	2349.75	28.0	88.6274509804	32.5490196078	normal	225922344.0
1012	17.2549019608	2361.0	27.0	88.6274509804	32.9411764706	normal	225922492.0
1013	16.862745098	2385.5	28.0	88.6274509804	32.9411764706	normal	225922629.0
1014	16.862745098	2403.75	28.0	88.6274509804	32.9411764706	normal	225922773.0
1015	16.862745098	2432.0	28.0	88.6274509804	32.9411764706	normal	225922932.0
1016	16.4705882353	2448.75	28.0	88.6274509804	32.5490196078	normal	225923068.0
1017	16.4705882353	2458.25	29.0	88.6274509804	32.9411764706	normal	225923212.0
1018	16.4705882353	2477.75	29.0	88.6274509804	32.1568627451	normal	225923373.0
